"","CpGmarker","CoefficientTraining"
"157","cg12788037",0.346086523641753
"158","cg11067179",0.997658956401156
"159","cg14314729",-0.203289206229671
"160","cg11718162",0.00381601853032163
"161","cg25415508",-1.08798396381758
"162","cg07502389",1.30375896469351
"163","cg25450819",0.0770462753217455
"164","cg14359680",-0.298554151173181
"165","cg13278496",0.0204877717456525
"166","cg24987259",-1.33169677435995
"167","cg15110296",-0.623739279317215
"168","cg23361092",0.456956503364189
"169","cg25149218",0.00148426792771644
"170","cg18450254",-0.0149590004985157
"171","cg13937040",-0.199382095499017
"172","cg15339075",0.016775880319428
"173","cg26116103",-0.0839742163357693
"174","cg14753631",0.34938735878618
"175","cg15936446",1.11441818063645
"176","cg12649038",0.0766839505300545
"177","cg03163545",-0.294133435301545
"178","cg07207669",0.621856533026884
"179","cg25305703",0.091546265613782
"180","cg22682373",0.350830190101104
"181","cg07717903",0.0198208787815668
"182","cg06326667",-0.419070180545795
"183","cg10619342",-0.0897889092605313
"184","cg25618424",1.12331853094687
"185","cg03638795",-1.07196812399756
"186","cg07319199",0.0041954716523562
"187","cg14776578",-0.0777081136625924
"188","cg20322193",0.326624228416948
"189","cg23460961",-0.0062373001866562
"190","cg21867345",0.327516169710951
"191","cg24090911",0.0843392789993025
"192","cg09624858",0.109876883402979
"193","cg13663218",-0.633063538554257
"194","cg06819923",-0.69900179427079
"195","cg19663246",-0.233380622399716
"196","cg14209784",-1.25127066397218
"197","cg23836737",-0.593375863971903
"198","cg22793142",-1.28513523266219
"199","cg26725786",0.0763340968094083
"200","cg03467555",0.0939701615677763
"201","cg08397927",-0.921548088575775
"202","cg03788004",-0.12793915075162
"203","cg13491731",0.0891070470807919
"204","cg01542719",-0.00179770279027248
"205","cg19343530",0.126649645484322
"206","cg01792616",0.0522145533892718
"207","cg22156456",-0.965308956821242
"208","cg10036013",0.0329772908984407
"209","cg18064714",0.0379710371309835
"210","cg12068124",-0.00953888806940308
"211","cg24696028",-2.33084131851499
"212","cg12934320",0.0524171234232506
"213","cg22197050",0.491842684101345
"214","cg22517995",0.91668857853004
"215","cg03261929",0.15485400760811
"216","cg07825606",-0.182514969533351
"217","cg27021512",-0.937957091209463
"218","cg00463859",-0.737305824428804
"219","cg13029847",2.73122846756808
"220","cg18125510",-0.0861452846711759
"221","cg05915866",-0.385069372210965
"222","cg03773862",0.334015694409371
"223","cg16717122",0.136882816684132
"224","cg15603896",0.00853871882675287
"225","cg19505546",0.0165005023019382
"226","cg20149168",0.647835744907035
"227","cg04105923",-0.497917370563836
"228","cg18335931",-0.194808744120165
"229","cg11653233",0.18745525639102
"230","cg07211259",-1.73880715590451
"231","cg25386151",-0.62901848019299
"232","cg20492951",-0.732915290296729
"233","cg15338967",0.975162166075417
"234","cg01433297",0.0147755181501455
"235","cg15845821",-0.00591167737666007
"236","cg08329113",0.452213107408623
"237","cg07374224",0.0577599839721305
"238","cg01222316",-0.677516004609637
"239","cg06068163",-0.340401145652513
"240","cg06526721",-0.0129802186434459
"241","cg21072934",-0.0183482124755896
"242","cg10772169",-0.19443915040201
"243","cg06493994",1.28859465727214
"244","cg23078123",-1.39834064104259
"245","cg00717297",-0.0290723399625569
"246","cg26668490",-0.0731203920844019
"247","cg25410668",2.01765088051418
"248","cg01844642",0.639673552854077
"249","cg10106965",-0.163369622896084
"250","cg27168858",0.0682558620129305
"251","cg08038054",-0.287914933972322
"252","cg21184711",0.381119054440533
"253","cg01176329",0.165037093082037
"254","cg02151816",0.2169462781657
"255","cg02533423",0.118670445854781
"256","cg07320140",-0.363922508446739
"257","cg13033858",0.0284481877105813
"258","cg12968224",0.148139926285727
"259","cg05294577",-0.056293763407669
"260","cg07082267",-2.33861737874468
"261","cg18875012",-0.0385855956612103
"262","cg21631428",0.190947249161613
"263","cg01528542",-1.19618234546984
"264","cg24845578",-0.957580585569603
"265","cg00793186",1.60073334509793
"266","cg06648759",2.7221508146869
"267","cg20665157",0.38298266403815
"268","cg15059474",0.392933647739792
"269","cg07571951",-0.518755521996295
"270","cg09524078",-0.0135117928420592
"271","cg24350475",-0.887927160238745
"272","cg06457011",-0.0515963710769645
"273","cg23538901",0.0395772024946742
"274","cg05308819",-2.36562411005742
"275","cg26483332",-1.23942038922271
"276","cg18240463",-0.0247872163926692
"277","cg03915012",-0.766354623455095
"278","cg01820962",-0.80512652067388
"279","cg01794929",0.683455843586747
"280","cg02452500",0.154507584042639
"281","cg14162417",1.08897586363052
"282","cg20988565",-0.18716643435658
"283","cg27338353",0.0717420210240644
"284","cg23900712",0.295901259050073
"285","cg09383860",-0.608708088277776
"286","cg12899747",-0.519946766824952
"287","cg01226614",0.0580192253440633
"288","cg06852243",0.201883937096962
"289","cg00753885",-0.972729094832544
"290","cg04092800",-0.0166040818370083
"291","cg27059819",0.306525091236985
"292","cg06685111",-0.810504634718098
"293","cg08963419",-0.739689793731005
"294","cg06083669",0.471667636940965
"295","cg13388466",0.0345745552709472
"296","cg00925087",0.0654925875724606
"297","cg15393490",-0.989495701315
"298","cg07810190",0.156401751885441
"299","cg04604946",-2.37059920557642
"300","cg10052840",-0.411192398692012
"301","cg21563471",-0.37310103078526
"302","cg00805193",-0.240005365931369
"303","cg23174607",0.0145583103302952
"304","cg12258344",-1.13627128697353
"305","cg01141812",0.13869555311868
"306","cg20324262",-0.0295471303353161
"307","cg05310309",0.177302240592027
"308","cg12506930",0.228429748846962
"309","cg02426324",0.00102472388468576
"310","cg02181968",-0.944250329132268
"311","cg25309888",0.0774410387823677
"312","cg16477091",0.0288706830328093
"313","cg27430293",-0.626291304266604
"314","cg09652142",-0.612585284901922
"315","cg04709900",-1.34059989787805
"316","cg20960181",0.0229923306487422
"317","cg07547549",2.86908232263729
"318","cg06836406",0.109439748050921
"319","cg25178749",-0.0818283237088842
"320","cg06335143",0.621788673057918
"321","cg07850154",-1.45068780977776
"322","cg08468401",-0.316670409916096
"323","cg01738984",-0.00673219556802171
"324","cg08822715",-0.428658538019748
"325","cg07073120",-1.78624534729204
"326","cg03607117",3.41324712178407
"327","cg15553770",0.0197169389714032
"328","cg21515349",0.790919560486846
"329","cg07101980",-0.17998418575795
"330","cg11830800",-0.341398048572387
"331","cg23858532",0.50912724886536
"332","cg09809672",-0.394338805459397
"333","cg24150153",0.838969746184066
"334","cg07095347",-0.0625803561886299
"335","cg22881141",0.724962433440164
"336","cg01055871",-0.170748360788641
"337","cg00548098",0.631354573128506
"338","cg24091819",0.0522859157448671
"339","cg22112832",-0.156971711125284
"340","cg01356950",-0.178263311455747
"341","cg21949781",-0.801373737726361
"342","cg08151809",-0.894466474291506
"343","cg00241664",-1.02537165106336
"344","cg03984502",1.47317724910728
"345","cg04955333",-0.904788877714375
"346","cg03232933",0.111400849775139
"347","cg05694095",-0.0129512289655176
"348","cg24711649",-0.349263278650803
"349","cg18917643",0.187074171492131
"350","cg09748749",-0.290687070168635
"351","cg13612317",-0.38269116370819
"352","cg17110586",1.7678841648786
"353","cg20756600",-0.0779931658015754
"354","cg18537454",0.0688310455109429
"355","cg19583819",1.19231950581818
"356","cg20525917",0.0323152788024572
"357","cg19722847",-0.665412867652537
"358","cg21860825",0.068499581555671
"359","cg10917602",-0.494595325093049
"360","cg11084334",0.349242170686199
"361","cg00850073",1.16181458038266
"362","cg27508620",0.0560995965878102
"363","cg06007201",-1.6104472641651
"364","cg11491284",-1.43629748769154
"365","cg17472796",-0.255482649709337
"366","cg27597505",0.139780459452651
"367","cg26765385",-0.199449031895931
"368","cg05612876",-0.0029867026279997
"369","cg20964423",-0.100376396854953
"370","cg18933331",-0.787948934651085
"371","cg11807280",-0.228537420265544
"372","cg04596060",-1.25720917062115
"373","cg17953385",-0.307685791401675
"374","cg23097079",-0.227550911014412
"375","cg04200607",-0.111438459088709
"376","cg14074174",-0.412889828887342
"377","cg06532163",-0.223185180286922
"378","cg27386529",-0.31669582171516
"379","cg23373640",0.0474707165247929
"380","cg15089077",0.0112348399653817
"381","cg23753748",-0.117256501996372
"382","cg11858226",-0.446934153192759
"383","cg02795076",0.273870779140265
"384","cg20822990",-0.400400208479185
"385","cg11789321",0.0718484732151451
"386","cg22864500",0.0984406947728465
"387","cg08429256",-0.220765169827225
"388","cg26833936",0.18695665459401
"389","cg10203610",-0.724287594882558
"390","cg10453071",-0.156656809074877
"391","cg03421353",0.0792136282761128
"392","cg13149736",-0.0428242037202727
"393","cg02204637",-0.311718176744933
"394","cg04684267",0.00353813069346116
"395","cg04055490",-0.0212881681989896
"396","cg07040244",0.689775320582515
"397","cg26925981",0.107090894410393
"398","cg25148589",0.45939549053522
"399","cg17621438",-1.21229218899738
"400","cg19031565",0.971502520133179
"401","cg03076094",-0.0201651453812008
"402","cg00593462",1.30704883301828
"403","cg11220950",0.837357514965988
"404","cg05106770",-0.33030596385476
"405","cg12379720",0.0152952145784843
"406","cg24403644",0.727054033073267
"407","cg01136606",-0.22331332961911
"408","cg09118625",0.167419593306027
"409","cg03039990",-0.102391704437843
"410","cg05780020",-0.63113580514341
"411","cg19034084",-0.219080178600961
"412","cg05522498",0.476496375480674
"413","cg19761273",-0.827500226060831
"414","cg26921969",0.876002381537201
"415","cg01832549",1.73741319790924
"416","cg09143195",-0.933003186577314
"417","cg02838492",0.0540926214279389
"418","cg20592391",0.136208088793553
"419","cg09315264",0.028646899219333
"420","cg01331772",0.245841075622029
"421","cg27367526",-0.525367876818795
"422","cg09164913",-0.232717050453623
"423","cg11136562",-0.108324685990791
"424","cg04999352",-0.0874845954578699
"425","cg02762363",-0.188783967829708
"426","cg04149978",0.191421225649132
"427","cg05923226",0.0491339971165689
"428","cg21116457",-0.0523722775103961
"429","cg00772585",-0.627443153242969
"430","cg25838150",-0.0372751092228205
"431","cg18448426",-0.843143979735876
"432","cg02836046",0.134177924955243
"433","cg12578166",-1.57874410548159
"434","cg26105310",-0.0332455749674181
"435","cg21144928",0.125546811137564
"436","cg18281842",0.06144746891048
"437","cg15673540",-0.505117058578667
"438","cg21809447",0.367878949355362
"439","cg04144218",0.0620010495156441
"440","cg06672696",0.0246129821285793
"441","cg18457597",-0.356151700523205
"442","cg12138483",0.00898639092173566
"443","cg15903032",-0.379470659829599
"444","cg17616646",-0.209244389329208
"445","cg22971191",0.0499116267334267
"446","cg07850604",0.0370985825579829
"447","cg10647101",-0.0756504391758138
"448","cg22073802",0.00108179345499625
"449","cg04361926",-0.703175816525023
"450","cg17168836",-0.143114178626409
"451","cg01435493",-0.399013447491138
"452","cg03957108",0.303321126174057
"453","cg17607231",-0.182471861287268
"454","cg13575542",-0.0154032404542821
"455","cg07080372",-1.35816135742987
"456","cg02871659",0.0291238709890817
"457","cg12134570",-1.15078182397997
"458","cg21874213",-2.173583431993
"459","cg24891133",0.435099709983577
"460","cg04757168",0.20797153244394
"461","cg17338821",1.38361791367443
"462","cg03234186",0.0992601665379231
"463","cg23718736",-0.209972688354052
"464","cg23500537",2.2738640826443
"465","cg17769442",0.00979160150833892
"466","cg26158023",-1.42418328681723
"467","cg09255514",0.0465908177330235
"468","cg06396324",-0.0335746458917578
"469","cg13615100",0.021154245619115
"470","cg17183905",-0.00991810101765956
"471","cg04521765",-0.0579468018941414
"472","cg00481951",0.295678889493399
"473","cg06639320",2.72438883297259
"474","cg08357125",-0.395598186152405
"475","cg05998295",0.0595476333152432
"476","cg22580512",-0.676567179341032
"477","cg25478614",1.10842956138619
"478","cg16032108",0.0150109243166529
"479","cg01447660",-0.14099961703134
"480","cg02018902",0.00030721111885939
"481","cg00740914",-0.171336131763771
"482","cg01031400",-0.10230204776422
"483","cg12490835",0.260380034114768
"484","cg08234504",-0.578659179343248
"485","cg20420249",0.000762242940424684
"486","cg04081402",-0.771068334168496
"487","cg14699004",-0.420121610249688
"488","cg22162281",0.154886521105003
"489","cg15519474",-0.582424348540844
"490","cg12350474",-0.0334643738184991
"491","cg08657705",0.117781800195457
"492","cg02025827",-1.09848410833453
"493","cg08097417",9.49093000560619
"494","cg26469387",1.36235206755925
"495","cg00096065",-0.147241949229059
"496","cg12145907",0.202882644294617
"497","cg04436528",-0.099467988101119
"498","cg27640528",-0.23436934182771
"499","cg06547285",0.830763998757627
"500","cg21899500",1.90817225146367
"501","cg23829395",0.17105504881495
"502","cg01757168",0.0822947707727522
"503","cg14748856",0.0410258086394064
"504","cg19166302",-0.0247357067998651
"505","cg13674411",-0.0312974820944474
"506","cg02037503",-1.44485147728651
"507","cg13567282",-0.114385411869452
"508","cg10625705",3.93620060623049
"509","cg09929187",-0.724863898025396
"510","cg13593287",-0.526551061163151
"511","cg04749507",-0.3570002419131
"512","cg21674704",0.955664970669789
"513","cg25909396",-1.27181493022294
"514","cg12402251",0.758705031477896
"515","cg20515136",-0.0933647788036688
